time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch,z,y,x,1.0
1619719410229097700,-6026.03390234375,-0.6878448301627480,0.36972157013248600,-0.22256592454999100,0.5935994934399360,0.8871897916657670,0.16329302625094800,0.6228341516209,-6.602647622218730,-5.72060584424734,4.455344208873810,1.0
1619719410239022800,-6026.0239770507800,-0.6878805792381730,0.3695712479327810,-0.2225402893466370,0.5943952611346320,0.8871739465653790,0.16375385875052300,0.6222492470060300,-6.601871377149220,-5.71594603574276,4.462470115230980,1.0
1619719410248948700,-6026.014051269530,-0.6882535589930890,0.36941530529727600,-0.22265314246381900,0.5953808040858910,0.887116528045005,0.1642623771417460,0.6215325377354780,-6.600860154280070,-5.710233503314850,4.471270384541150,1.0
1619719410258874600,-6026.004125488280,-0.6891508307237580,0.36938758017496500,-0.2229398674281510,0.5965260128986830,0.8869724373435580,0.16471316796790500,0.6209781048775610,-6.598353139895200,-5.705812179741260,4.480604614597560,1.0
1619719410268800800,-6025.99419921875,-0.6905520567509700,0.36958888135610600,-0.2233181865551210,0.5980384473494020,0.886709509997741,0.1651643526134910,0.6207772160204030,-6.59251668882668,-5.704210005241630,4.491224500550330,1.0
1619719410278727000,-6025.9842731933600,-0.6920378840853080,0.3699865643552530,-0.22361217438863400,0.5998340892308520,0.8863788882112960,0.1656502740786970,0.6209569350218100,-6.583595131224390,-5.705643837437030,4.502476254665850,1.0
1619719410288652500,-6025.97434741211,-0.6932698462731210,0.37039549798456900,-0.2237916813021920,0.6015360505483300,0.8860746708464670,0.16612084456025100,0.6212391254429150,-6.574594663167,-5.707894246712330,4.512763547663390,1.0
1619719410298577700,-6025.964422363280,-0.6942608801517000,0.3706902380082640,-0.22395421421330500,0.6028806303377180,0.8858385483918590,0.16650327444203300,0.6213891326438480,-6.567815962812300,-5.709090178498630,4.521114027379450,1.0
1619719410308503600,-6025.95449633789,-0.6950980424247260,0.3708432094374310,-0.22414235209292000,0.6039545009553810,0.8856632511136690,0.1668414518919930,0.6212990442794420,-6.5633800261914700,-5.708371801096200,4.5284562068358100,1.0
1619719410318429700,-6025.9445703125,-0.69569194139564,0.37082324936775000,-0.22431807292527400,0.604825742454574,0.8855599804165510,0.16719737668138000,0.6208929385216180,-6.561338291230800,-5.705132965305450,4.535490635517240,1.0
1619719410328355800,-6025.934644042970,-0.6961610313728380,0.3706866808386560,-0.22450988806645500,0.6055198506651180,0.8855039605077370,0.16753958091052600,0.620276852885746,-6.5610775944680000,-5.700217720735070,4.542043710422520,1.0
1619719410338281700,-6025.924718261720,-0.6965768160388020,0.3705012692918640,-0.2246982629318750,0.6062125177780550,0.8854631122029160,0.16791244703970900,0.6195528093498230,-6.561320171052220,-5.694438552811740,4.548937561589480,1.0
1619719410348207600,-6025.914792480470,-0.6969092251630380,0.37037122078867200,-0.22478292633905100,0.6071956233591090,0.8854004514208400,0.16841520648959700,0.6189005197686980,-6.5598933531194900,-5.689229878252740,4.5575037298828400,1.0
1619719410358132700,-6025.9048671875,-0.6975187543882420,0.37040920715230700,-0.22482788549122600,0.6089050892119610,0.8852315428759210,0.16915798048635800,0.6184009252683340,-6.554423397275810,-5.685238178268080,4.570336323449020,1.0
1619719410368058600,-6025.89494140625,-0.6985050262864640,0.37066973752112500,-0.2248362106376100,0.6114907815074230,0.8849256613931090,0.17017438084414400,0.6181243636803890,-6.543872192645070,-5.68302810100317,4.588171839869020,1.0
1619719410377984800,-6025.885015136720,-0.6996274845241640,0.37110050234323800,-0.22474839792515400,0.6147061458668600,0.8845304315840440,0.17140140168377500,0.6180598162048310,-6.52938481760919,-5.682512552696470,4.609400213597720,1.0
1619719410387911000,-6025.875089111330,-0.700489794117494,0.3716239302628290,-0.22446446256166300,0.6181317080242450,0.8841252991802830,0.1727246620866610,0.6182170585614990,-6.512828819605710,-5.6837692747592900,4.631222169305380,1.0
1619719410397836800,-6025.865163085940,-0.7010523206915850,0.3722647674894440,-0.22396596428865900,0.6216727496855790,0.8837142333366860,0.1740902382668580,0.6186928104751750,-6.494189585587380,-5.6875704206079200,4.652679967875780,1.0
1619719410407762700,-6025.855237304690,-0.7014008333739700,0.37303720160643300,-0.22330455659819200,0.6251963881784020,0.8832943672934290,0.1754123582198100,0.6195422664323870,-6.4738353643447200,-5.694354381659630,4.672705103294550,1.0
1619719410417687600,-6025.8453125,-0.7018837451034970,0.3739564776925410,-0.22262776060326500,0.6287931963865510,0.8828240604867430,0.1766779118031720,0.6207049213870980,-6.451627624189850,-5.703633082136510,4.692062422454360,1.0
1619719410427613700,-6025.835386230470,-0.7026703231639160,0.3749879755389490,-0.2220227871024300,0.6325317043929580,0.8822907180056760,0.1779128061900520,0.6220414319841580,-6.427887267640230,-5.714290085229280,4.71163806053996,1.0
1619719410437539800,-6025.825460205080,-0.7037983809862590,0.37612868924023000,-0.22151015401664000,0.6363993850185340,0.8816923750160710,0.1791061622941390,0.623539117849608,-6.402726522898670,-5.7262201769977800,4.731372396318610,1.0
1619719410447465700,-6025.815534179690,-0.7051421726303590,0.3772683572344480,-0.2211203541611710,0.6401011651519770,0.8810835737491090,0.18018368507918100,0.6250346153863550,-6.3782929233878800,-5.73811928910613,4.749921613965930,1.0
1619719410457391600,-6025.8056083984400,-0.7062084198880320,0.3781894663704670,-0.2208081167303280,0.6429797800292470,0.8805997113009190,0.1809990902133710,0.6262801322954680,-6.35886809194982,-5.7480199208736400,4.763973520193990,1.0
1619719410467317800,-6025.795682128910,-0.7064799344356490,0.3787317868885630,-0.22044972645107000,0.6446832472299620,0.8803462476920050,0.18153391272818100,0.6270913651178890,-6.347014572548870,-5.754463690185550,4.771994621825220,1.0
1619719410477242600,-6025.785757324220,-0.7058844283939830,0.3789698863060860,-0.21995010925691800,0.6454067014307860,0.8803015584841150,0.18185955986805400,0.6276144618117520,-6.3411547406047600,-5.75861671821177,4.774774023410680,1.0
